product_name,product_link
HUDA BEAUTY Demi Matte & Cream Lip Set,https://www.sephora.com/product/demi-matte-lip-kit-P442596?skuId=2203545&icid2=products%20grid:p442596
HUDA BEAUTY Lip Strobe Metallic Gloss,https://www.sephora.com/product/lip-strobe-P421781?icid2=products%20grid:p421781
HUDA BEAUTY Power Bullet Metallic Lipstick,https://www.sephora.com/product/power-bullet-metallic-lipstick-P439651?skuId=2156198&icid2=products%20grid:p439651
rms beauty Wild With Desire Mini Lipstick Set,https://www.sephora.com/product/wild-with-desire-mini-lipstick-set-P439025?icid2=products%20grid:p439025
bareMinerals BAREPRO® Longwear Matte Lipstick,https://www.sephora.com/product/barepro-r-longwear-lipstick-P440272?icid2=products%20grid:p440272
Urban Decay Hi-Fi Shine Ultra Cushion Lip Gloss,https://www.sephora.com/product/hi-fi-shine-ultra-cushion-lip-gloss-P429052?icid2=products%20grid:p429052
Shiseido Color Gel Lip Balm,https://www.sephora.com/product/color-gel-lip-balm-P443795?icid2=products%20grid:p443795
CLINIQUE Chubby Stick Intense Moisturizing Lip Colour Balm,https://www.sephora.com/product/chubby-stick-intense-moisturizing-lip-colour-balm-P377218?icid2=products%20grid:p377218
Charlotte Tilbury Hollywood Lips Liquid Lipstick,https://www.sephora.com/product/hollywood-lips-P433865?icid2=products%20grid:p433865
Charlotte Tilbury K.I.S.S.I.N.G Lipstick - Pillow Talk Collection,https://www.sephora.com/product/charlotte-tilbury-k-i-s-s-i-n-g-lipstick-pillow-talk-P454351?icid2=products%20grid:p454351
TOM FORD Lost Cherry Lip Color,https://www.sephora.com/product/lost-cherry-lip-color-P440968?icid2=products%20grid:p440968
Marc Jacobs Beauty Le Marc Liquid Lip Crayon,https://www.sephora.com/product/le-marc-liquid-lip-crayon-P425209?skuId=1972587&icid2=products%20grid:p425209
Givenchy Le Rouge Metallic Lipstick,https://www.sephora.com/product/givenchy-le-rouge-metallic-finish-lipstick-P454976?icid2=products%20grid:p454976
Charlotte Tilbury Hot Lips Lipstick 2 Refills,https://www.sephora.com/product/charlotte-tilbury-hot-lips-lipstick-2-refills-P455206?icid2=products%20grid:p455206
Givenchy Le Rouge Lipstick Couture Edition,https://www.sephora.com/product/givenchy-le-rouge-lipstick-couture-edition-P456355?icid2=products%20grid:p456355
bareMinerals GEN NUDE™ Radiant Lipstick,https://www.sephora.com/product/gen-nude-radiant-lipstick-P410248?skuId=1846583&icid2=products%20grid:p410248
KVD Vegan Beauty Kitten Mini Smoke & Mirrors Grayscale Mini Lip Everlasting Liquid Lip Duo,https://www.sephora.com/product/smoke-mirrors-grayscale-mini-lip-everlasting-liquid-lip-duo-P421290?icid2=products%20grid:p421290
Too Faced Natural Nudes Lipstick,https://www.sephora.com/product/natural-nudes-lipstick-P429601?skuId=2064319&icid2=products%20grid:p429601
Givenchy Rouge Interdit Vinyl Color Enhancing Lipstick - 16 Noir Revelateur,https://www.sephora.com/product/rouge-interdit-vinyl-color-enhancing-lipstick-16-noir-revelateur-name-tbd-P419605?icid2=products%20grid:p419605
NUDESTIX Intense Matte Lip + Cheek Pencil,https://www.sephora.com/product/intense-matte-lip-cheek-pencil-P405290?icid2=products%20grid:p405290
SEPHORA COLLECTION Rouge Lip Tint,https://www.sephora.com/product/rouge-lip-tint-P415405?icid2=products%20grid:p415405
Yves Saint Laurent Rouge Volupté Shine Oil-In-Stick Lipstick Collector's Edition,https://www.sephora.com/product/yves-saint-laurent-rouge-volupte-shine-oil-in-stick-lipstick-collector-s-edition-P454360?icid2=products%20grid:p454360
TOM FORD Lip Color Sheer,https://www.sephora.com/product/lip-color-sheer-P407140?icid2=products%20grid:p407140
Christian Louboutin Sheer Voile Lip Colour,https://www.sephora.com/product/sheer-voile-lip-colour-P400558?icid2=products%20grid:p400558
NARS Velvet Lip Glide,https://www.sephora.com/product/velvet-lip-glide-P412131?skuId=2058493&icid2=products%20grid:p412131
Kaja Cutie Bento Creamy Lip & Cheek Duo,https://www.sephora.com/product/kaja-cutie-bento-creamy-lip-cheek-duo-P459259?icid2=products%20grid:p459259
KVD Vegan Beauty XO Vinyl Lip Cream Lip Gloss,https://www.sephora.com/product/kvd-vegan-beauty-xo-vinyl-lip-cream-liquid-lipstick-P454032?icid2=products%20grid:p454032
Too Faced Peach Kiss Moisture Matte Long Wear Lipstick – Peaches and Cream Collection,https://www.sephora.com/product/peach-kiss-moisture-matte-long-wear-lipstick-peaches-cream-collection-P422600?skuId=2108116&icid2=products%20grid:p422600
Dior Rouge Dior Ultra Care Lipstick,https://www.sephora.com/product/rouge-dior-ultra-care-lipstick-P449370?icid2=products%20grid:p449370
Shiseido Modern Matte Powder Lipstick,https://www.sephora.com/product/modernmatte-powder-lipstick-P435414?icid2=products%20grid:p435414
TOM FORD Most Wanted Mini Clutch Lip Color Lipstick,https://www.sephora.com/product/tom-ford-mini-clutch-lip-color-lipstick-P458272?icid2=products%20grid:p458272
SEPHORA COLLECTION Color Flush Lip And Cheek Stick Set,https://www.sephora.com/product/sephora-collection-color-flush-lip-cheek-stick-set-P457437?icid2=products%20grid:p457437
Melt Cosmetics Lipstick,https://www.sephora.com/product/lipstick-P444551?icid2=products%20grid:p444551
NUDESTIX Magnetic Matte Lip Color,https://www.sephora.com/product/magnetic-matte-lip-color-P416774?icid2=products%20grid:p416774
Pretty Vulgar My Lips Are Sealed Liquid Lipstick,https://www.sephora.com/product/my-lips-are-sealed-liquid-lipstick-P419282?icid2=products%20grid:p419282
Givenchy Rouge Interdit Satin Lipstick,https://www.sephora.com/product/rouge-interdit-satin-lipstick-P181912?icid2=products%20grid:p181912
